"";"HabtypeVel";"codeplas"
"1";"3160;3130_aom";"ANTKAL0344"
"2";"3160";"ANTKAL0385"
"3";"3160";"ANTKAL0330"
"4";"3160";"ANTKAL0284"
"5";"3160";"ANTKAL0011"
"6";"3160";"ANTKAL0004"
"7";"3160";"ANTKAL0387"
"8";"gh";"ANTKAL0483"
"9";"gh";"ANTKAL0482"
"10";"3160";"ANTKAL0019"
"11";"3160";"ANTKAL0288"
"12";"3160";"ANTKAL0383"
"13";"gh";"ANTKAL0309"
"14";"3130_aom";"ANTKAL0289"
"15";"3130_aom";"ANTKAL0306"
"16";"3160;3130_aom";"ANTKAL0356"
"17";"gh";"ANTKAL0350"
"18";"3130_aom;3160";"ANTKAL0492"
"19";"3160";"ANTKAL0478"
"20";"gh";"ANTKAL0276"
"21";"3160;3130_aom";"ANTKAL0386a"
"22";"-";"ANTKAL0386b"
"23";"3160";"ANTKAL0021"
"24";"3160";"ANTKAL0001"
"25";"3160";"ANTKAL0123"
"26";"3160";"ANTKAL0384"
"27";"3160";"ANTKAL0217"
