"";"X";"CODE";"codeplas";"plasnaam";"SBZ";"meetnet";"HabtypeSel";"HabtypeVel";"INSIDE_X";"INSIDE_Y";"LabSampleID";"FieldSampleID";"FieldObserver";"FieldSampleRemark";"FieldSamplingDate";"Component";"LIMSAnalysisName";"Unit";"AquaComponent";"AquaUnit";"ResultNumeric";"ResultFormatted";"ResultFormattedNumeric";"IsBelowLOQ";"IsAboveLOQ";"IsCalc";"categorie";"label";"meetreeks";"seizoen";"ResultCalc";"Locatie";"watertype"
"1";973;"ANTKAL0344";"ANTKAL0344";NA;1;"-";"-";"3160;3130_aom";NA;NA;"24-001088";"ANTKAL0344";"Wannes Dermout";"EMPTY";2024-03-11;"pH.25";"PHH2O_TIT_W";"-";"pH_labo";"-";"4,62";"4.62";"4,62";FALSE;FALSE;FALSE;"Zs 3160";"pH_labo (-)";"2022-2024";"winter";4,62;NA;"Zs"
"2";974;"ANTKAL0344";"ANTKAL0344";NA;1;"-";"-";"3160;3130_aom";NA;NA;"24-001088";"ANTKAL0344";"Wannes Dermout";"EMPTY";2024-03-11;"EC.25";"EC_TIT_W";"µS/cm";"EGV_tit";"µS/cm";"38,5";"38.50";"38,5";FALSE;FALSE;FALSE;"Zs 3160";"EGV_tit (µS/cm)";"2022-2024";"winter";38,5;NA;"Zs"
"3";975;"ANTKAL0344";"ANTKAL0344";NA;1;"-";"-";"3160;3130_aom";NA;NA;"24-001088";"ANTKAL0344";"Wannes Dermout";"EMPTY";2024-03-11;"HCO3";"ALK_OEP_W";"mg/L";"HCO3_OEP";"mg/L";"-1,215933333";"<5";"5";TRUE;FALSE;FALSE;"Zs 3160";"HCO3_OEP (mg/L)";"2022-2024";"winter";2,5;NA;"Zs"
"4";976;"ANTKAL0344";"ANTKAL0344";NA;1;"-";"-";"3160;3130_aom";NA;NA;"24-001088";"ANTKAL0344";"Wannes Dermout";"EMPTY";2024-03-11;"CO3";"ALK_OEP_W";"mg/L";"CO3";"mg/L";"0";"<1.20";"1,2";TRUE;FALSE;FALSE;"Zs 3160";"CO3 (mg/L)";"2022-2024";"winter";0,6;NA;"Zs"
"5";977;"ANTKAL0344";"ANTKAL0344";NA;1;"-";"-";"3160;3130_aom";NA;NA;"24-001088";"ANTKAL0344";"Wannes Dermout";"EMPTY";2024-03-11;"OH";"ALK_OEP_W";"mg/L";"OH";"mg/L";"0";"<0.36";"0,36";TRUE;FALSE;FALSE;"Zs 3160";"OH (mg/L)";"2022-2024";"winter";0,18;NA;"Zs"
"6";978;"ANTKAL0344";"ANTKAL0344";NA;1;"-";"-";"3160;3130_aom";NA;NA;"24-001088";"ANTKAL0344";"Wannes Dermout";"EMPTY";2024-03-11;"Cl";"IC_ANIONEN";"mg/L";"Cl";"mg/L";"5,1698";"5.17";"5,17";FALSE;FALSE;FALSE;"Zs 3160";"Cl (mg/L)";"2022-2024";"winter";5,17;NA;"Zs"
"7";979;"ANTKAL0344";"ANTKAL0344";NA;1;"-";"-";"3160;3130_aom";NA;NA;"24-001088";"ANTKAL0344";"Wannes Dermout";"EMPTY";2024-03-11;"NO2";"IC_ANIONEN";"mg/L";"NO2";"mg/L";"0,0023";"<0.02";"0,02";TRUE;FALSE;FALSE;"Zs 3160";"NO2 (mg/L)";"2022-2024";"winter";0,01;NA;"Zs"
"8";980;"ANTKAL0344";"ANTKAL0344";NA;1;"-";"-";"3160;3130_aom";NA;NA;"24-001088";"ANTKAL0344";"Wannes Dermout";"EMPTY";2024-03-11;"NO3";"IC_ANIONEN";"mg/L";"NO3";"mg/L";"0,26";"0.26";"0,26";FALSE;FALSE;FALSE;"Zs 3160";"NO3 (mg/L)";"2022-2024";"winter";0,26;NA;"Zs"
"9";981;"ANTKAL0344";"ANTKAL0344";NA;1;"-";"-";"3160;3130_aom";NA;NA;"24-001088";"ANTKAL0344";"Wannes Dermout";"EMPTY";2024-03-11;"SO4";"IC_ANIONEN";"mg/L";"SO4";"mg/L";"2,4623";"2.46";"2,46";FALSE;FALSE;FALSE;"Zs 3160";"SO4 (mg/L)";"2022-2024";"winter";2,46;NA;"Zs"
"10";982;"ANTKAL0344";"ANTKAL0344";NA;1;"-";"-";"3160;3130_aom";NA;NA;"24-001088";"ANTKAL0344";"Wannes Dermout";"EMPTY";2024-03-11;"PO4";"IC_ANIONEN";"mg/L";"PO4";"mg/L";"0,005";"<0.1";"0,1";TRUE;FALSE;FALSE;"Zs 3160";"PO4 (mg/L)";"2022-2024";"winter";0,05;NA;"Zs"
