"","CODE","O2max_verz"
"1","ANTKAL0001",131.4
"2","ANTKAL0011",120.4
"3","ANTKAL0021",117.8
"4","ANTKAL0123",105.3
"5","ANTKAL0217",117.2
"6","ANTKAL0276",114.4
"7","ANTKAL0284",109.7
"8","ANTKAL0289",112.9
"9","ANTKAL0306",128.3
"10","ANTKAL0309",125.8
"11","ANTKAL0344",120.2
"12","ANTKAL0350",121.5
"13","ANTKAL0356",112.5
"14","ANTKAL0384",119.1
"15","ANTKAL0385",119.7
"16","ANTKAL0386a",105.5
"17","ANTKAL0386b",112.6
"18","ANTKAL0478",93.8
"19","ANTKAL0482",104.1
"20","ANTKAL0483",92.5
"21","ANTKAL0492",121.1
"22","AN_KAL_002",114.8
"23","AN_KAL_003",104.9
"24","AN_KAL_006",105.6
"25","AN_KAL_007",107.4
"26","AN_NOL_001",114.4
"27","AN_NOL_003",79.1
