,CODE,ZS105_gem,ZS550_gem,ZS105-ZS550
22,AN_KAL_002,0.032375,0.025,0.007375
23,AN_KAL_003,0.025,0.025,0
24,AN_KAL_006,0.025,0.025,0
25,AN_KAL_007,0.025,0.025,0
26,AN_NOL_001,0.025125,0.025,0.000125
27,AN_NOL_003,0.026875,0.025,0.001875
1,ANTKAL0001,0.025,0.025,0
2,ANTKAL0011,0.025,0.025,0
3,ANTKAL0021,0.025,0.025,0
4,ANTKAL0123,0.029125,0.025,0.004125
5,ANTKAL0217,0.025,0.025,0
6,ANTKAL0276,0.029375,0.025,0.004375
7,ANTKAL0284,0.025,0.025,0
8,ANTKAL0289,0.025,0.025,0
9,ANTKAL0306,0.025,0.025,0
10,ANTKAL0309,0.025,0.025,0
11,ANTKAL0344,0.025,0.025,0
12,ANTKAL0350,0.025,0.025,0
13,ANTKAL0356,0.03025,0.025,0.00525
14,ANTKAL0384,0.025,0.025,0
15,ANTKAL0385,0.026285714,0.025,0.001285714
16,ANTKAL0386a,0.025,0.025,0
17,ANTKAL0386b,0.025,0.025,0
18,ANTKAL0478,0.032,0.025,0.007
19,ANTKAL0482,0.025,0.025,0
20,ANTKAL0483,0.025,0.025,0
21,ANTKAL0492,0.025,0.025,0
