"","CODE","chla_zhjgem"
"1","ANTKAL0001",68.32
"2","ANTKAL0011",6.22
"3","ANTKAL0021",11.1
"4","ANTKAL0123",235.92
"5","ANTKAL0217",6.76
"6","ANTKAL0276",13.8
"7","ANTKAL0284",11.54
"8","ANTKAL0289",9.15
"9","ANTKAL0306",9.9
"10","ANTKAL0309",6.76666666666667
"11","ANTKAL0344",6.13333333333333
"12","ANTKAL0350",5.8
"13","ANTKAL0356",28.82
"14","ANTKAL0384",17.58
"15","ANTKAL0385",7.325
"16","ANTKAL0386a",23.02
"17","ANTKAL0386b",5.36
"18","ANTKAL0478",28.82
"19","ANTKAL0482",8.9
"20","ANTKAL0483",7.53333333333333
"21","ANTKAL0492",5
"22","AN_KAL_002",12.26
"23","AN_KAL_003",8.04
"24","AN_KAL_006",7.32
"25","AN_KAL_007",73.08
"26","AN_NOL_001",95.4
"27","AN_NOL_003",61.66
