"codeplas","Al","CO3","Ca","Cl","EGV25_veld","EGV_calc","EGV_labo","EGV_tit","Fe","HCO3_OEP","K","Mg","Mn","NH4","NH4_N","NO2","NO2_N","NO3","NO3_N","NPOC","N_anorg","Na","O2_veld","O2verz","OH","PO4","PO4_P","S","SD_veld","SO4","SO4_S","Si","TN","TP","T_anion","T_kation","T_veld","WD_veld","ZS_105","ZS_550","absorptie_440","alkaliniteit","chl_a","faeo","pH_labo","pH_veld","sal_veld","verschil_EGV_abs","verschil_EGV_proc","verschil_IC_abs","verschil_IC_proc","turbiditeit"
"ANTKAL0001",0.025,0.6,0.48,3.093,18.73,18.132,18.32,18.32,0.19,2.5,0.813,0.365,0.027,0.05,0.0388259045,0.01,0.00304414,0.05,0.0112948405,13.682,0.053164885,1.757,7.533,74.17,0.18,0.05,0.016307893,0.5,0.576,0.05,0.0166889185,0.1,0.7,0.015,0.16847,0.16902,9.22,0.732,0.0125,0.0125,0.01955,0.0409701735,26.37,2.5,5.207,5.0572,0,0.292,1.626,7e-04,0.17,NA
"ANTKAL0004",0.147,0.6,0.67,4.324,34.3,32.416,33.26,33.26,0.092,2.5,0.464,0.417,0.047,0.05,0.0388259045,0.01,0.00304414,0.19,0.042920394,9.037,0.0847904385,2.577,8.426,90.64,0.18,0.05,0.016307893,0.5,0.321,0.907,0.3027369824,0.1,0.766,0.015,0.23177,0.27867,8.52,0.321,0.0125,0.0125,0.00699,0.0409701735,2.5,2.5,4.27,4.2902,0,0.976,2.244,0.0061,0.64,NA
"ANTKAL0011",0.152,0.6,0.556,5.291,42.63,40.774,42.08,42.08,0.099,2.5,1.554,0.461,0.05,0.05,0.0388259045,0.01,0.00304414,0.219,0.0494714012,12.844,0.1015068027,2.936,8.379,82.95,0.18,0.05,0.016307893,0.5,0.171,0.92,0.3070761017,0.1,0.952,0.015,0.29612,0.29648,8.67,0.171,0.0125,0.0125,0.01243,0.0409701735,2.5,2.5,4.397,4.3032,0,0.616,1.447,0.011,1.69,NA
"ANTKAL0019",0.13,0.6,0.733,4.17,31.96,28.92,30.9,30.9,0.549,2.5,1.301,0.447,0.05,0.05,0.0388259045,0.01,0.00304414,0.05,0.0112948405,23.18,0.053164885,2.317,8.168,87.58,0.18,0.05,0.016307893,0.5,0.218,0.442,0.14753003975,0.1,1.377,0.04702,0.23155,0.26542,8.19,0.508,0.0125,0.0125,0.07994,0.0409701735,2.5,2.5,4.521,4.4437,0,0.544,1.08,0.0245,3.43,NA
"ANTKAL0021",0.05,0.6,0.327,5.45,41.22,38.893,41.24,41.24,0.05,2.5,0.635,0.369,0.047,0.05,0.0388259045,0.01,0.00304414,0.05,0.0112948405,13.536,0.053164885,2.927,8.675,91.95,0.18,0.05,0.016307893,0.5,0.302,0.629,0.2099465956,0.1,0.516,0.015,0.23708,0.24558,9.18,0.302,0.0125,0.0125,0.01466,0.0409701735,2.5,2.5,4.339,4.2097,0,2.154,4.708,0.0085,1.8,NA
"ANTKAL0123",0.211,0.6,0.918,3.71,29.22,29.817,28.01,28.01,0.26,2.5,1.695,0.503,0.05,0.05,0.0388259045,0.01,0.00304414,0.05,0.0112948405,27.149,0.053164885,2.284,5.716,50.99,0.18,0.05,0.016307893,0.5,0.221,0.05,0.0166889185,0.17,1.959,0.1029,0.30662,0.30636,9.39,0.515,0.0125,0.0125,0.06046,0.0409701735,4.46,2.5,5.198,5.0983,0,1.137,3.257,7e-04,0.1,NA
"ANTKAL0217",0.208,0.6,0.548,4.716,40.94,40.762,39.96,39.96,0.306,2.5,1.362,0.62,0.02,0.05,0.0388259045,0.01,0.00304414,0.08,0.0180717448,11.19,0.0599417893,2.648,6.362,55.72,0.18,0.05,0.016307893,1.194,0.6,2.37,0.7910547398,0.25,0.754,0.015,0.28994,0.34794,6.96,0.665,0.0125,0.0125,0.00724,0.0409701735,2.5,2.5,4.368,4.3842,0,0.82,1.868,0.0056,0.62,NA
"ANTKAL0276",0.05,0.6,0.653,4.114,29.8,31.572,29.49,29.49,0.456,2.5,1.382,0.447,0.027,0.05,0.0388259045,0.01,0.00304414,0.05,0.0112948405,11.099,0.053164885,2.524,5.698,58.08,0.18,0.05,0.016307893,0.871,0.254,1.672,0.5580774366,0.1,0.852,0.015,0.26991,0.31006,9.26,0.344,0.0125,0.0125,0.00801,0.0409701735,6.84,2.5,4.59,4.4534,0,0.782,2.009,0.012,1.56,NA
"ANTKAL0284",0.177,0.6,0.96,5.67,43.35,43.591,42.69,42.69,0.15,2.5,0.551,0.576,0.05,0.05,0.0388259045,0.01,0.00304414,0.147,0.0332068313,9.653,0.0750768758,3.121,7.267,73.66,0.18,0.05,0.016307893,0.5,0.379,0.894,0.2983978636,0.1,0.94,0.015,0.30436,0.38223,8.57,0.407,0.0125,0.0125,0.00927,0.0409701735,4.25,2.5,4.284,4.1662,0,0.495,0.837,0.0024,0.24,NA
"ANTKAL0288",0.214,0.6,0.802,6.516,50.78,50.689,50.62,50.62,2.002,2.5,1.354,0.532,0.05,0.162,0.1257959312,0.01,0.00304414,0.106,0.02394506165,31.732,0.1629504893,3.692,4.458,45.72,0.18,0.05,0.016307893,0.5,0.199,0.403,0.1345126835,0.795,1.882,0.015,0.3519,0.45105,8.94,0.541,0.0125,0.0125,0.09109,0.0409701735,2.5,2.5,4.281,4.23,0,0.141,0.281,0.0653,6.55,NA
