,CODE,N_anorg,TN,N_org
22,AN_KAL_002,0.144926322,1.32625,1.181323678
23,AN_KAL_003,0.406666491,1.67125,1.264583509
24,AN_KAL_006,0.313201686,1.1475,0.834298315
25,AN_KAL_007,0.392406864,2.00875,1.616343136
26,AN_NOL_001,0.420749608,2.3825,1.961750392
27,AN_NOL_003,0.985119276,3.375,2.389880724
1,ANTKAL0001,0.162186256,0.925714286,0.76352803
2,ANTKAL0011,0.339814945,1.9125,1.572685055
3,ANTKAL0021,0.147555938,1.00875,0.861194062
4,ANTKAL0123,0.46441064,3.58125,3.11683936
5,ANTKAL0217,0.289386826,1.231428571,0.942041745
6,ANTKAL0276,0.318036988,1.45,1.131963012
7,ANTKAL0284,0.190935081,1.48625,1.295314919
8,ANTKAL0289,0.157418745,1.285714286,1.128295541
9,ANTKAL0306,0.159792015,1.433333333,1.273541318
10,ANTKAL0309,0.232831984,1.03,0.797168016
11,ANTKAL0344,0.162803973,1.485,1.322196027
12,ANTKAL0350,0.300601027,1.546666667,1.24606564
13,ANTKAL0356,0.259233564,4.4,4.140766436
14,ANTKAL0384,0.205847901,1.79625,1.590402099
15,ANTKAL0385,0.392673586,1.728571429,1.335897843
16,ANTKAL0386a,0.345233232,1.194285714,0.849052482
17,ANTKAL0386b,0.260292269,1.32875,1.068457731
18,ANTKAL0478,0.281593542,1.935,1.653406458
19,ANTKAL0482,0.307918905,1.665,1.357081095
20,ANTKAL0483,0.268645814,1.418333333,1.149687519
21,ANTKAL0492,0.183699428,1.03125,0.847550573
