"","CODE","TN_zomerhalfjaargem"
"1","ANTKAL0001",0.8625
"2","ANTKAL0011",1.862
"3","ANTKAL0021",1.156
"4","ANTKAL0123",2.288
"5","ANTKAL0217",1.222
"6","ANTKAL0276",1.428
"7","ANTKAL0284",1.66
"8","ANTKAL0289",1.295
"9","ANTKAL0306",1.55333333333333
"10","ANTKAL0309",0.783333333333333
"11","ANTKAL0344",1.08
"12","ANTKAL0350",1.08
"13","ANTKAL0356",2.934
"14","ANTKAL0384",2.178
"15","ANTKAL0385",1.81
"16","ANTKAL0386a",0.89
"17","ANTKAL0386b",1.174
"18","ANTKAL0478",2.058
"19","ANTKAL0482",1.79
"20","ANTKAL0483",1.54
"21","ANTKAL0492",0.942
"22","AN_KAL_002",1.444
"23","AN_KAL_003",1.318
"24","AN_KAL_006",0.984
"25","AN_KAL_007",1.894
"26","AN_NOL_001",2.162
"27","AN_NOL_003",3.684
