"","CODE","T_max"
"1","ANTKAL0001",24.9
"2","ANTKAL0011",30.4
"3","ANTKAL0021",24.5
"4","ANTKAL0123",23.4
"5","ANTKAL0217",25.5
"6","ANTKAL0276",27.4
"7","ANTKAL0284",27
"8","ANTKAL0289",25
"9","ANTKAL0306",23.2
"10","ANTKAL0309",21.3
"11","ANTKAL0344",19.8
"12","ANTKAL0350",22.9
"13","ANTKAL0356",21.7
"14","ANTKAL0384",25.4
"15","ANTKAL0385",26.3
"16","ANTKAL0386a",27.5
"17","ANTKAL0386b",27.9
"18","ANTKAL0478",24.3
"19","ANTKAL0482",21.4
"20","ANTKAL0483",20.3
"21","ANTKAL0492",25.2
"22","AN_KAL_002",29.1
"23","AN_KAL_003",28
"24","AN_KAL_006",22.1
"25","AN_KAL_007",26.9
"26","AN_NOL_001",24.5
"27","AN_NOL_003",22.1
