CODE,SD_veld,WD_veld,% WD,KLASSEN,KLASSEN_2
AN_KAL_002,0.282,0.378,74.6031746,Matig,75 > % > 50
AN_KAL_003,0.506,0.506,100,Bodemzicht,% = 100
AN_KAL_006,0.616,0.696,88.50574713,Helder,100 > % > 75
AN_KAL_007,0.314,0.638,49.21630094,Troebel,50 > % > 25
AN_NOL_001,0.32,0.49,65.30612245,Matig,75 > % > 50
AN_NOL_003,0.238,0.666,35.73573574,Troebel,50 > % > 25
ANTKAL0001,0.855,0.94,90.95744681,Helder,100 > % > 75
ANTKAL0011,0.234,0.46,50.86956522,Matig,75 > % > 50
ANTKAL0021,0.438,0.478,91.63179916,Helder,100 > % > 75
ANTKAL0123,0.274,0.616,44.48051948,Troebel,50 > % > 25
ANTKAL0217,0.71,1.062,66.85499058,Matig,75 > % > 50
ANTKAL0276,0.434,0.588,73.80952381,Matig,75 > % > 50
ANTKAL0284,0.434,0.63,68.88888889,Matig,75 > % > 50
ANTKAL0289,0.5325,0.8425,63.20474777,Matig,75 > % > 50
ANTKAL0306,0.52,0.81,64.19753086,Matig,75 > % > 50
ANTKAL0309,0.803333333,0.803333333,100,Bodemzicht,% = 100
ANTKAL0344,0.34,0.34,100,Bodemzicht,% = 100
ANTKAL0350,0.375,0.44,85.22727273,Helder,100 > % > 75
ANTKAL0356,0.374,0.462,80.95238095,Helder,100 > % > 75
ANTKAL0384,0.864,1.218,70.93596059,Matig,75 > % > 50
ANTKAL0385,0.32,0.4925,64.97461929,Matig,75 > % > 50
ANTKAL0386a,0.552,0.568,97.18309859,Helder,100 > % > 75
ANTKAL0386b,0.38,0.436,87.1559633,Helder,100 > % > 75
ANTKAL0478,0.252,0.414,60.86956522,Matig,75 > % > 50
ANTKAL0482,0.34,0.616666667,55.13513514,Matig,75 > % > 50
ANTKAL0483,0.306666667,0.536666667,57.14285714,Matig,75 > % > 50
ANTKAL0492,0.572,0.572,100,Bodemzicht,% = 100
