,CODE,abs440_gem
22,AN_KAL_002,0.0404
23,AN_KAL_003,0.04645
24,AN_KAL_006,0.0314375
25,AN_KAL_007,0.110425
26,AN_NOL_001,0.099575
27,AN_NOL_003,0.1577125
1,ANTKAL0001,0.02925
2,ANTKAL0011,0.067525
3,ANTKAL0021,0.0381125
4,ANTKAL0123,0.1313125
5,ANTKAL0217,0.034842857
6,ANTKAL0276,0.0324
7,ANTKAL0284,0.0539875
8,ANTKAL0289,0.062828571
9,ANTKAL0306,0.072166667
10,ANTKAL0309,0.027383333
11,ANTKAL0344,0.0353
12,ANTKAL0350,0.0393
13,ANTKAL0356,0.1139375
14,ANTKAL0384,0.0574875
15,ANTKAL0385,0.0294
16,ANTKAL0386a,0.0246375
17,ANTKAL0386b,0.0492125
18,ANTKAL0478,0.07305
19,ANTKAL0482,0.105316667
20,ANTKAL0483,0.101733333
21,ANTKAL0492,0.022925
