"codeplas";"Al";"CO3";"Ca";"Cl";"EGV25_veld";"EGV_calc";"EGV_labo";"EGV_tit";"Fe";"HCO3_OEP";"K";"Mg";"Mn";"NH4";"NH4_N";"NO2";"NO2_N";"NO3";"NO3_N";"NPOC";"N_anorg";"Na";"O2_veld";"O2verz";"OH";"PO4";"PO4_P";"S";"SD_veld";"SO4";"SO4_S";"Si";"TN";"TP";"T_anion";"T_kation";"T_veld";"WD_veld";"ZS_105";"ZS_550";"absorptie_440";"alkaliniteit";"chl_a";"faeo";"pH_labo";"pH_veld";"sal_veld";"verschil_EGV_abs";"verschil_EGV_proc";"verschil_IC_abs";"verschil_IC_proc";"turbiditeit"
"ANTKAL0001";0,0375;0,6;0,56;3,67375;22,1875;21,54875;22,2625;22,2625;0,30125;2,5;1,19125;0,43625;0,04625;0,07625;0,0592095045;0,01;0,00304414;0,275;0,062121622875;14,675;0,124375267375;2,00125;9,9975;101,2125;0,18;0,05;0,016307893;0,5;0,845714285714286;0,17375;0,0579939919375;0,175;0,925714285714286;0,0349625;0,202675;0,202175;15,85;1,03375;0,0125;0,0125;0,02925;0,0409701735;54,425;12,3625;5,41125;5,269625;0;1,23125;5,39375;0,005875;1,4375;NA
"ANTKAL0004";0,19125;0,6;0,85875;6,43375;48,9625;51,24875;52,3375;52,3375;0,49;2,5;0,96125;0,58125;0,04875;0,13625;0,1058005901875;0,01;0,00304414;1,1975;0,270511430375;16,53125;0,3793561605625;3,8875;9,795;97,3625;0,18;0,05;0,016307893;1,44625;0,5075;3,92875;1,311331775625;0,19375;1,67125;0,0189625;0,3415375;0,3645375;15,3875;0,53;0,0125;0,0125;0,04645;0,0409701735;6,95;3,9875;4,45625;4,38775;0;2,96625;5,24125;0,023875;4,15;NA
"ANTKAL0011";0,24625;0,6;0,955;7,395;48,875;49,85;49;49;1,26125;2,5;2,1;0,57375;0,05625;0,24375;0,1892762849375;0,01;0,00304414;0,575;0,129890665875;23,845;0,3222110908125;3,7425;9,6675;99,3;0,18;0,05;0,016307893;0,9875;0,35;2,16375;0,722212950625;0,30625;1,9125;0,0176875;0,3609;0,41545;16,6375;0,54375;0,0125;0,0125;0,067525;0,0409701735;3,8875;5,05;4,65;4,510125;0;2,83;5,83625;0,057375;7,05;NA
"ANTKAL0019";0,22875;0,6;1,00875;6,005;41,025;43,32;44,325;44,325;0,755;2,5;1,7375;0,58625;0,0725;0,08625;0,0669746854375;0,01;0,00304414;1,2875;0,2908421431875;27,3275;0,360860968625;3,3175;10,17625;95,4875;0,18;0,06625;0,02160795825;0,89;0,37625;1,53875;0,5136014686875;0,22875;2,00875;0,1060125;0,3296625;0,3627875;15,4375;0,725;0,0125;0,0125;0,110425;0,0409701735;47,0125;15,6;4,69375;4,624125;0;2,495;5,50625;0,033;4,9875;NA
"ANTKAL0021";0,15;0,6;0,5375;6,6225;46,275;43,005;45,45;45,45;0,33875;2,5;1,36;0,46125;0,05125;0,05;0,0388259045;0,01;0,00304414;0,26375;0,0595802836875;21,10125;0,1014503281875;3,655;9,76125;101,075;0,18;0,05;0,016307893;0,56375;0,54375;1,07125;0,35756008025;0,225;0,9775;0,015;0,289575;0,3201125;16,85;0,56875;0,0125;0,0125;0,0381125;0,0409701735;8,1125;5,275;4,47125;4,342375;0;3,3975;7,63625;0,030375;4,7375;NA
"ANTKAL0123";0,43625;0,6;2,505;5,64125;46,225;45,1025;46,2125;46,2125;0,59125;5,07375;3,2875;0,81125;0,165;0,47875;0,3717580369375;0,01;0,00304414;0,30625;0,069180898375;42,7725;0,4439830753125;3,02125;7,57875;76,5375;0,18;0,245;0,07990867575;0,6425;0,36125;0,56375;0,188167556625;0,4475;3,58125;0,1874125;0,4629;0,4974125;15,225;0,665;0,022875;0,0125;0,1313125;0,0831489674375;152,2;45,25;5,4475;5,381;0;2,52;5,87875;0,04325;3,7125;NA
"ANTKAL0217";0,418571428571429;0,6;0,755714285714286;5,63857142857143;50,0142857142857;50,9585714285714;51,9714285714286;51,9714285714286;0,992857142857143;2,5;1,65;0,862857142857143;0,0414285714285714;0,0742857142857143;0,057684201;0,01;0,00304414;0,844285714285714;0,190721449785714;21,1857142857143;0,251449790785714;3,53571428571429;8,05285714285714;82,7142857142857;0,18;0,05;0,016307893;2,10142857142857;0,706666666666667;5,41857142857143;1,80860194557143;0,964285714285714;1,23142857142857;0,0175857142857143;0,364528571428571;0,404642857142857;15,6142857142857;1,06666666666667;0,0125;0,0125;0,0348428571428571;0,0409701735;6,47142857142857;6,17142857142857;4,60285714285714;4,48071428571429;0;1,83571428571429;3,36285714285714;0,04;5,72857142857143;NA
"ANTKAL0276";0,10625;0,6;0,955;6,5;47,7125;47,15;45,9125;45,9125;1,19625;3,1;2,79375;0,65375;0,0525;0,28;0,217425066;0,01;0,00304414;0,32;0,07228697925;16,46375;0,29275618525;3,5325;8,82625;90,2375;0,18;0,05;0,016307893;1,56875;0,5525;3,84375;1,282960614125;0,565;1,45;0,0230875;0,380525;0,40625;16,8;0,785;0,0184375;0,0125;0,0324;0,0508030151875;18,9375;11,775;5,47625;5,3245;0;2,75;5,90375;0,03;4,4125;NA
"ANTKAL0284";0,26;0,6;1,07375;8,03875;56,4;55,92375;55,6375;55,6375;1,04;2,5;1,23375;0,6275;0,0525;0,11625;0,0902702281875;0,01;0,00304414;0,31125;0,07031038225;21,5875;0,1636247504375;4,5725;9,31625;93,825;0,18;0,05;0,016307893;1,44;0,5425;3,775;1,260013351125;0,24375;1,48625;0,02015;0,3916375;0,4343875;15,6625;0,6175;0,0125;0,0125;0,0539875;0,0409701735;9,0875;6,15;4,50125;4,38475;0;2,26875;3,72875;0,044375;5,85;NA
"ANTKAL0288";0,265;0,6;0,92125;8,7475;61,4375;62,23875;61,1375;61,1375;2,69;2,5;2,135;0,59;0,055;1,02625;0,796901692875;0,01;0,00304414;0,8;0,1807174483125;42,11625;0,9806632811875;4,5325;6,06;59,925;0,18;0,05;0,016307893;1,03;0,28375;1,445;0,482309746375;1,57375;3,375;0,029225;0,4538375;0,553725;15,05;0,72;0,0159375;0,0125;0,1577125;0,0409701735;39,1625;10,325;4,56875;4,439;0;1,28125;2,1275;0,099875;10,3375;NA
"ANTKAL0289";0,365714285714286;0,6;0,818571428571429;7,09571428571429;44,1857142857143;43,06;43,3142857142857;43,3142857142857;0,507142857142857;2,5;2,91428571428571;0,52;0,0414285714285714;0,0685714285714286;0,0532469547857143;0,01;0,00304414;0,304285714285714;0,0687371723571429;22,8471428571429;0,125028267142857;3,77;9,92428571428571;99,0285714285714;0,18;0,05;0,016307893;0,761428571428571;0,628571428571429;1,99571428571429;0,666126263428571;0,185714285714286;1,28571428571429;0,0254571428571429;0,353242857142857;0,3829;15,7142857142857;0,968571428571429;0,0125;0,0125;0,0628285714285714;0,0409701735;8,4;3,6;5,03;4,88985714285714;0;0,391428571428571;0,857142857142857;0,0297142857142857;4,68571428571429;NA
"ANTKAL0306";0,263333333333333;0,6;0,828333333333333;4,94833333333333;37,6;35,24;37,2166666666667;37,2166666666667;0,283333333333333;2,5;2,66333333333333;0,575;0,0633333333333333;0,05;0,0388259045;0,01;0,00304414;0,32;0,0722869793333333;25,4;0,114157023833333;2,66166666666667;10,1866666666667;99,5333333333333;0,18;0,05;0,016307893;0,828333333333333;0,655;1,61833333333333;0,540164664166667;0,175;1,43333333333333;0,02425;0,292016666666667;0,319533333333333;14,1833333333333;0,916666666666667;0,0125;0,0125;0,0721666666666667;0,0409701735;11,8333333333333;2,5;4,94333333333333;4,79533333333333;0;1,97666666666667;5,5;0,0275;4,76666666666667;NA
"ANTKAL0309";0,31;0,6;0,861666666666667;5,855;45,9666666666667;45,89;47,8;47,8;0,236666666666667;2,5;0,84;0,515;0,035;0,05;0,0388259045;0,01;0,00304414;0,635;0,143444474583333;14,975;0,185314519083333;3,865;10,8766666666667;104,333333333333;0,18;0,05;0,016307893;1,5;0,803333333333333;4,12166666666667;1,3757231865;0,355;1,03;0,015;0,315766666666667;0,339033333333333;13,35;0,883333333333333;0,0125;0,0125;0,0273833333333333;0,0409701735;6,06666666666667;2,5;4,53166666666667;4,40116666666667;0;1,91;3,775;0,0233333333333333;4,3;NA
"ANTKAL0330";0,20125;0,6;0,8775;7,52375;53,5625;52,61875;52,9375;52,9375;0,98125;2,5;1,18875;0,5475;0,0425;0,07875;0,061150799625;0,01;0,00304414;0,20875;0,0471559590625;19,915;0,1113508986875;4,24;9,22125;93,8375;0,18;0,05;0,016307893;1,35125;0,367142857142857;3,65375;1,21954272375;0,29875;1,32625;0,015;0,3673875;0,3938375;15,5;0,441428571428571;0,0214375;0,0125;0,0404;0,0409701735;7,975;7,975;4,51625;4,317125;0;4,01625;7,90875;0,03;4,525;NA
"ANTKAL0344";0,138333333333333;0,6;0,928333333333333;6,83;52,8333333333333;49,6216666666667;51,85;51,85;0,766666666666667;2,5;1,12333333333333;0,595;0,0333333333333333;0,05;0,0388259045;0,01;0,00304414;0,333333333333333;0,0752989368333333;17,855;0,117168981333333;4,19333333333333;10,3266666666667;97,7666666666667;0,18;0,05;0,016307893;1,68333333333333;0,454;4,375;1,46028037383333;0,793333333333333;1,485;0,015;0,355266666666667;0,37645;12,7666666666667;0,5;0,0125;0,0125;0,0353;0,0409701735;3,48333333333333;2,5;4,55;4,36733333333333;0;2,22833333333333;4,66166666666667;0,0211666666666667;3,56666666666667;NA
"ANTKAL0350";0,0966666666666667;0,6;0,79;4,805;48,6666666666667;39,4883333333333;45,3666666666667;45,3666666666667;0,425;2,5;1,19833333333333;0,49;0,0383333333333333;0,05;0,0388259045;0,01;0,00304414;0,935;0,21121351775;19,265;0,25308356225;2,64333333333333;10,2783333333333;100,183333333333;0,18;0,05;0,016307893;1,06333333333333;0,452;2,45;0,817757009333333;0,316666666666667;1,54666666666667;0,015;0,277416666666667;0,284316666666667;13,9666666666667;0,471666666666667;0,0125;0,0125;0,0393;0,0409701735;4,98333333333333;4,53333333333333;4,475;4,298;0;5,87833333333333;14,1866666666667;0,0166666666666667;3,31666666666667;NA
"ANTKAL0356";0,23625;0,6;1,50875;8,22125;54,925;52,1775;55,2;55,2;0,7375;2,5;2,7575;1,2625;0,04875;0,1125;0,087358285375;0,01;0,00304414;0,58625;0,1324320049375;37,82;0,2228344303125;4,77875;8,125;80,9375;0,18;0,3925;0,128016960125;1,0675;0,47;1,26625;0,4226468626875;0,175;4,4;0,221675;0,482475;0,519125;15,2125;0,54;0,0193125;0,0125;0,1139375;0,0409701735;20,1125;20,5875;5,1225;4,988375;0;3,0225;5,96875;0,036625;3,4375;NA
