,CODE,EGV25_veld,O2_veld,O2verz,SD_veld,T_veld,ZS_105,alkaliniteit,pH_veld,sal_veld
22,AN_KAL_002,53.5625,9.22125,93.8375,0.367142857,15.5,0.032375,0.081940347,4.317125,0
23,AN_KAL_003,48.9625,9.795,97.3625,0.5075,15.3875,0.025,0.081940347,4.38775,0
24,AN_KAL_006,53.3875,10.1125,96.1625,0.602857143,13.575,0.025,0.081940347,4.4,0
25,AN_KAL_007,41.025,10.17625,95.4875,0.37625,15.4375,0.025,0.081940347,4.624125,0
26,AN_NOL_001,51.225,9.655,98.3875,0.355,15.7875,0.025125,0.081940347,4.4485,0
27,AN_NOL_003,61.4375,6.06,59.925,0.28375,15.05,0.026875,0.081940347,4.439,0
1,ANTKAL0001,22.1875,9.9975,101.2125,0.845714286,15.85,0.025,0.081940347,5.269625,0
2,ANTKAL0011,48.875,9.6675,99.3,0.35,16.6375,0.025,0.081940347,4.510125,0
3,ANTKAL0021,46.275,9.76125,101.075,0.54375,16.85,0.025,0.081940347,4.342375,0
4,ANTKAL0123,46.225,7.57875,76.5375,0.36125,15.225,0.029125,0.098512783,5.381,0
5,ANTKAL0217,50.01428571,8.052857143,82.71428571,0.706666667,15.61428571,0.025,0.081940347,4.480714286,0
6,ANTKAL0276,47.7125,8.82625,90.2375,0.5525,16.8,0.029375,0.086651917,5.3245,0
7,ANTKAL0284,56.4,9.31625,93.825,0.5425,15.6625,0.025,0.081940347,4.38475,0
8,ANTKAL0289,44.18571429,9.924285714,99.02857143,0.628571429,15.71428571,0.025,0.081940347,4.889857143,0
9,ANTKAL0306,37.6,10.18666667,99.53333333,0.655,14.18333333,0.025,0.081940347,4.795333333,0
10,ANTKAL0309,45.96666667,10.87666667,104.3333333,0.803333333,13.35,0.025,0.081940347,4.401166667,0
11,ANTKAL0344,52.83333333,10.32666667,97.76666667,0.454,12.76666667,0.025,0.081940347,4.367333333,0
12,ANTKAL0350,48.66666667,10.27833333,100.1833333,0.452,13.96666667,0.025,0.081940347,4.298,0
13,ANTKAL0356,54.925,8.125,80.9375,0.47,15.2125,0.03025,0.081940347,4.988375,0
14,ANTKAL0384,40.35,8.6025,86.275,0.884285714,15.325,0.025,0.081940347,4.9615,0
15,ANTKAL0385,49.88571429,9.828571429,96.61428571,0.407142857,14.38571429,0.026285714,0.081940347,4.744142857,0
16,ANTKAL0386a,55.0375,9.845,99.3625,0.575,16.075,0.025,0.081940347,4.699625,0
17,ANTKAL0386b,52.0375,9.8875,101.9,0.42875,16.95,0.025,0.081940347,4.48325,0
18,ANTKAL0478,33.175,7.34,74.15,0.33375,16.75,0.032,0.081940347,4.696125,0
19,ANTKAL0482,57.65,8.53,77.35,0.366,11.55,0.025,0.081940347,4.244,0
20,ANTKAL0483,43.96666667,8.573333333,76.91666667,0.336,11.53333333,0.025,0.081940347,4.303833333,0
21,ANTKAL0492,36.575,10.3525,104.7,0.6725,16.0125,0.025,0.081940347,4.31675,0
