"codeplas","Al","CO3","Ca","Cl","EGV25_veld","EGV_calc","EGV_labo","EGV_tit","Fe","HCO3_OEP","K","Mg","Mn","NH4","NH4_N","NO2","NO2_N","NO3","NO3_N","NPOC","N_anorg","Na","O2_veld","O2verz","OH","PO4","PO4_P","S","SD_veld","SO4","SO4_S","Si","TN","TP","T_anion","T_kation","T_veld","WD_veld","ZS_105","ZS_550","absorptie_440","alkaliniteit","chl_a","faeo","pH_labo","pH_veld","sal_veld","verschil_EGV_abs","verschil_EGV_proc","verschil_IC_abs","verschil_IC_proc","turbiditeit"
"ANTKAL0001",0.025,0.6,0.48,3.03,18.1,17.53,17.9,17.9,0.19,2.5,0.61,0.33,0.02,0.05,0.0388259045,0.01,0.00304414,0.05,0.0112948405,13.08,0.053164885,1.68,6.91,70.6,0.18,0.05,0.016307893,0.5,NA,0.05,0.0166889185,0.1,0.64,0.015,0.1684,0.1686,8.8,0.62,0.0125,0.0125,0.0178,0.0409701735,17.2,2.5,5.2,4.85,0,0.11,0.59,0,0.1,NA
"ANTKAL0004",0.14,0.6,0.6,4.1,31.5,32.22,32,32,0.05,2.5,0.38,0.41,0.04,0.05,0.0388259045,0.01,0.00304414,0.19,0.042920394,7.91,0.0847904385,2.43,8.02,89.8,0.18,0.05,0.016307893,0.5,0.3,0.62,0.20694259,0.1,0.71,0.015,0.2303,0.2786,8.1,0.3,0.0125,0.0125,0.0065,0.0409701735,2.5,2.5,4.06,4.244,0,0.22,0.69,0.004,0.5,NA
"ANTKAL0011",0.11,0.6,0.43,5.13,42,38.31,41.1,41.1,0.05,2.5,1.47,0.44,0.05,0.05,0.0388259045,0.01,0.00304414,0.17,0.038402458,9.33,0.0983442475,2.74,7.28,78.4,0.18,0.05,0.016307893,0.5,0.15,0.71,0.236982644,0.1,0.63,0.015,0.288,0.2885,8.6,0.15,0.0125,0.0125,0.0111,0.0409701735,2.5,2.5,4.39,4.264,0,0.35,0.67,0.011,1.2,NA
"ANTKAL0019",0.13,0.6,0.67,3.89,30.7,28.92,30.2,30.2,0.5,2.5,1.28,0.44,0.05,0.05,0.0388259045,0.01,0.00304414,0.05,0.0112948405,22.27,0.053164885,2.31,8.07,86.6,0.18,0.05,0.016307893,0.5,0.19,0.05,0.0166889185,0.1,1.23,0.034,0.2305,0.2643,7,0.41,0.0125,0.0125,0.0798,0.0409701735,2.5,2.5,4.08,4.38,0,0.11,0.24,0.021,2.8,NA
"ANTKAL0021",0.05,0.6,0.25,5.45,35.9,37.36,38.3,38.3,0.05,2.5,0.53,0.32,0.04,0.05,0.0388259045,0.01,0.00304414,0.05,0.0112948405,11.59,0.053164885,2.64,8.64,76.9,0.18,0.05,0.016307893,0.5,0.19,0.37,0.123497997,0.1,0.25,0.015,0.2326,0.2376,8.9,0.19,0.0125,0.0125,0.0141,0.0409701735,2.5,2.5,4.29,4.139,0,1.72,3.63,0.005,1.1,NA
"ANTKAL0123",0.19,0.6,0.75,3.15,28.1,26.45,27.8,27.8,0.19,2.5,1.66,0.37,0.05,0.05,0.0388259045,0.01,0.00304414,0.05,0.0112948405,26.82,0.053164885,1.85,4.82,46.3,0.18,0.05,0.016307893,0.5,0.2,0.05,0.0166889185,0.1,1.56,0.0952,0.2649,0.2652,8.9,0.48,0.0125,0.0125,0.055,0.0409701735,2.5,2.5,5.17,5.071,0,0.64,1.15,0,0.1,NA
"ANTKAL0217",0.19,0.6,0.53,4.68,40.1,40.27,39.6,39.6,0.27,2.5,1.35,0.56,0.02,0.05,0.0388259045,0.01,0.00304414,0.05,0.0112948405,10.68,0.053164885,2.57,5.84,49.3,0.18,0.05,0.016307893,1.08,NA,2.13,0.710947931,0.25,0.7,0.015,0.2837,0.3381,2.4,NA,0.0125,0.0125,0.0067,0.0409701735,2.5,2.5,4.29,4.347,0,0.07,0.17,0.005,0.5,NA
"ANTKAL0276",0.05,0.6,0.59,3.96,28.4,31.53,27.6,27.6,0.05,2.5,0.43,0.44,0.02,0.05,0.0388259045,0.01,0.00304414,0.05,0.0112948405,9.72,0.053164885,2.51,4.62,57.1,0.18,0.05,0.016307893,0.5,0.24,0.3,0.100133511,0.1,0.74,0.015,0.2648,0.299,8.7,0.26,0.0125,0.0125,0.005,0.0409701735,2.5,2.5,4.17,4.046,0,0.32,0.91,0.012,1,NA
"ANTKAL0284",0.17,0.6,0.96,5.32,42.3,41.61,41.5,41.5,0.15,2.5,0.39,0.52,0.05,0.05,0.0388259045,0.01,0.00304414,0.14,0.031625553,8.89,0.0734955975,3.1,6.84,71.7,0.18,0.05,0.016307893,0.5,0.33,0.67,0.223631509,0.1,0.73,0.015,0.3024,0.3529,8.5,0.4,0.0125,0.0125,0.0071,0.0409701735,2.5,2.5,4.27,4.064,0,0.11,0.27,0.001,0.1,NA
"ANTKAL0288",0.2,0.6,0.76,6.11,48.4,46.58,46.7,46.7,1.61,2.5,1.2,0.49,0.05,0.12,0.093182171,0.01,0.00304414,0.05,0.0112948405,31.48,0.141405673,3.58,4.36,39,0.18,0.05,0.016307893,0.5,0.15,0.13,0.043391188,0.62,1.7,0.015,0.3106,0.4108,8.8,0.38,0.0125,0.0125,0.0843,0.0409701735,2.5,2.5,4.12,4.16,0,0.12,0.26,0.059,6.2,NA
"ANTKAL0289",0.28,0.6,0.65,4.18,33.6,32.51,32.6,32.6,0.33,2.5,1.54,0.41,0.03,0.05,0.0388259045,0.01,0.00304414,0.05,0.0112948405,16.4,0.053164885,2.59,7.96,92.1,0.18,0.05,0.016307893,0.5,0.33,1.24,0.41388518,0.1,1.11,0.015,0.2479,0.2902,8.1,0.33,0.0125,0.0125,0.0295,0.0409701735,2.5,2.5,4.77,4.56,0,0,0,0.01,0.9,NA
"ANTKAL0306",0.25,0.6,0.67,3.79,33.4,30.13,32.8,32.8,0.12,2.5,2.16,0.54,0.05,0.05,0.0388259045,0.01,0.00304414,0.05,0.0112948405,14.94,0.053164885,2.02,8.26,86.2,0.18,0.05,0.016307893,0.5,0.26,0.26,0.086782377,0.1,1.11,0.015,0.2373,0.2793,7.6,0.26,0.0125,0.0125,0.027,0.0409701735,2.5,2.5,4.72,4.45,0,0.99,2.43,0.012,1.6,NA
"ANTKAL0309",0.24,0.6,0.38,4.53,32.9,31.9,33.2,33.2,0.15,2.5,0.25,0.31,0.02,0.05,0.0388259045,0.01,0.00304414,0.05,0.0112948405,13.17,0.053164885,3.06,10.13,90.8,0.18,0.05,0.016307893,0.5,0.49,0.76,0.253671562,0.1,0.63,0.015,0.2173,0.2462,7.6,0.49,0.0125,0.0125,0.0123,0.0409701735,2.5,2.5,4.25,4.259,0,0.67,1.98,0.01,0.9,NA
"ANTKAL0330",0.1,0.6,0.6,4.29,34.4,30.18,33,33,0.05,2.5,0.65,0.36,0.02,0.05,0.0388259045,0.01,0.00304414,0.05,0.0112948405,6.31,0.053164885,2.64,5.33,38,0.18,0.05,0.016307893,0.5,NA,0.71,0.236982644,0.1,0.55,0.015,0.2239,0.2787,1.1,NA,0.0125,0.0125,0.0013,0.0409701735,2.5,2.5,4.24,4.056,0,0.05,0.15,0.001,0.1,NA
"ANTKAL0344",0.05,0.6,0.5,4.62,38,31.28,33.1,33.1,0.36,2.5,0.34,0.37,0.01,0.05,0.0388259045,0.01,0.00304414,0.05,0.0112948405,13.58,0.053164885,2.8,7.87,84.9,0.18,0.05,0.016307893,0.5,NA,0.76,0.253671562,0.33,1,0.015,0.2508,0.2683,8.3,NA,0.0125,0.0125,0.0201,0.0409701735,2.5,2.5,4.36,4.222,0,1.23,2.6,0.004,0.4,NA
"ANTKAL0350",0.05,0.6,0.48,3.96,33.5,23.83,32.7,32.7,0.16,2.5,0.42,0.35,0.03,0.05,0.0388259045,0.01,0.00304414,0.05,0.0112948405,16.73,0.053164885,2.14,9.64,82.8,0.18,0.05,0.016307893,0.5,NA,0.47,0.156875834,0.1,0.92,0.015,0.2065,0.2107,8.5,0.19,0.0125,0.0125,0.0176,0.0409701735,2.5,2.5,4.1,3.82,0,1.38,4.22,0.001,0.1,NA
"ANTKAL0356",0.12,0.6,1.2,4.4,36.6,34.08,36.4,36.4,0.35,2.5,1.64,1.05,0.02,0.05,0.0388259045,0.01,0.00304414,0.05,0.0112948405,23.97,0.053164885,2.65,5.66,56.3,0.18,0.05,0.016307893,0.5,0.06,0.05,0.0166889185,0.1,1.78,0.038,0.3612,0.3741,8.6,0.12,0.0125,0.0125,0.0717,0.0409701735,2.5,2.5,4.52,4.527,0,1.81,2.1,0.002,0.2,NA
"ANTKAL0383",0.25,0.6,0.75,5.65,39.9,41.61,42.1,42.1,0.96,2.5,1.54,0.47,0.04,0.05,0.0388259045,0.01,0.00304414,0.05,0.0112948405,24.85,0.053164885,3.28,7.99,77.4,0.18,0.05,0.016307893,0.5,0.25,0.05,0.0166889185,0.1,1.57,0.015,0.3092,0.3808,8.9,0.33,0.0125,0.0125,0.0629,0.0409701735,2.5,2.5,4.25,4.18,0,0.43,0.77,0.025,3,NA
"ANTKAL0384",0.05,0.6,0.83,4.89,32.7,29.95,32.2,32.2,0.1,2.5,0.12,0.5,0.05,0.05,0.0388259045,0.01,0.00304414,0.05,0.0112948405,11.98,0.053164885,2.84,4.65,44,0.18,0.05,0.016307893,0.5,NA,0.34,0.113484646,0.25,0.7,0.015,0.2295,0.243,1.7,NA,0.0125,0.0125,0.016,0.0409701735,2.5,2.5,4.55,4.015,0,1.01,2.63,0.013,2.5,NA
"ANTKAL0385",0.05,0.6,0.64,4.3,29.7,30.53,28.9,28.9,0.23,2.5,1.24,0.37,0.03,0.05,0.0388259045,0.01,0.00304414,0.2,0.045179362,5.27,0.0870494065,2.56,7.78,79.2,0.18,0.05,0.016307893,0.5,0.24,1.26,0.420560748,0.1,0.25,0.015,0.2412,0.2869,8.5,0.28,0.0125,0.0125,-0.0011,0.0409701735,2.5,2.5,4.2,4.1,0,0.93,2.29,0.001,0.2,NA
