"codeplas","Al","CO3","Ca","Cl","EGV25_veld","EGV_calc","EGV_labo","EGV_tit","Fe","HCO3_OEP","K","Mg","Mn","NH4","NH4_N","NO2","NO2_N","NO3","NO3_N","NPOC","N_anorg","Na","O2_veld","O2verz","OH","PO4","PO4_P","S","SD_veld","SO4","SO4_S","Si","TN","TP","T_anion","T_kation","T_veld","WD_veld","ZS_105","ZS_550","absorptie_440","alkaliniteit","chl_a","faeo","pH_labo","pH_veld","sal_veld","verschil_EGV_abs","verschil_EGV_proc","verschil_IC_abs","verschil_IC_proc"
"ANTKAL0001",0.04,0.6,0.558,3.82,22.98,22.636,23.3,23.3,0.28,2.5,1.272,0.474,0.05,0.092,0.0714396645,0.01,0.00304414,0.296,0.0668654559,14.9,0.1413492604,2.09,9.198,100.14,0.18,0.05,0.016307893,0.5,0.855,0.198,0.0660881174,0.19,0.8625,0.04222,0.21392,0.21094,19.1,0.94,0.0125,0.0125,0.02614,0.0409701735,68.32,16.4,5.466,5.3198,0,1.492,6.342,0.0072,1.72
"ANTKAL0004",0.188,0.6,0.832,6.984,51.32,50.802,50.54,50.54,0.464,2.5,0.776,0.622,0.048,0.126,0.0978412796,0.01,0.00304414,0.36,0.0813228516,15.212,0.1822082712,4.334,9.008,97.98,0.18,0.05,0.016307893,1.648,0.506,4.442,1.4826435246,0.19,1.318,0.02134,0.35116,0.37328,19.38,0.506,0.0125,0.0125,0.04076,0.0409701735,6.04,4.1,4.498,4.4024,0,2.742,5.07,0.022,3.86
"ANTKAL0011",0.232,0.6,0.85,8.534,52.2,53.342,51.22,51.22,1.42,2.5,2.298,0.576,0.058,0.332,0.2578040066,0.01,0.00304414,0.268,0.0605403452,24.018,0.3213884918,4.21,8.9,101.44,0.18,0.05,0.016307893,0.844,0.234,1.852,0.6181575434,0.19,1.862,0.0193,0.38574,0.44578,21.32,0.46,0.0125,0.0125,0.07056,0.0409701735,4.72,6.58,4.648,4.5654,0,3.474,6.876,0.0602,6.9
"ANTKAL0019",0.246,0.6,0.98,6.384,41.54,40.758,40.3,40.3,0.846,2.5,1.758,0.606,0.066,0.08,0.0621214474,0.01,0.00304414,0.234,0.0528598535,29.46,0.1180254409,3.58,9.79,96.8,0.18,0.05,0.016307893,0.896,0.314,1.536,0.5126835783,0.19,1.894,0.12058,0.3341,0.36976,19.7,0.638,0.0125,0.0125,0.12262,0.0409701735,73.08,22.04,4.792,4.7084,0,1.926,5.018,0.0356,5.22
"ANTKAL0021",0.144,0.6,0.512,7.1,46.22,44.138,46.02,46.02,0.32,2.5,1.556,0.482,0.048,0.05,0.0388259045,0.01,0.00304414,0.346,0.0781602964,22.508,0.1200303409,3.914,9.554,105.5,0.18,0.05,0.016307893,0.5,0.438,0.794,0.2650200268,0.232,1.156,0.015,0.30472,0.33426,20.02,0.478,0.0125,0.0125,0.03838,0.0409701735,10.1,6.94,4.504,4.3876,0,3.406,7.674,0.0294,4.34
"ANTKAL0123",0.384,0.6,2.458,5.634,43.98,43.056,44.06,44.06,0.632,4.456,3.014,0.834,0.156,0.112,0.0869700263,0.01,0.00304414,0.174,0.0393060452,43.124,0.1293202115,3.204,7.97,84.66,0.18,0.15,0.048923679,0.608,0.274,0.3,0.1001335112,0.21,2.288,0.18096,0.44088,0.47564,17.86,0.616,0.0291,0.0125,0.11582,0.0730252375,235.92,70.4,5.336,5.2946,0,2.268,5.582,0.041,3.38
"ANTKAL0217",0.348,0.6,0.742,5.886,52.98,51.592,52.62,52.62,0.684,2.5,1.726,0.934,0.038,0.05,0.0388259045,0.01,0.00304414,0.272,0.0614439323,17.654,0.1033139768,3.852,8.584,93.94,0.18,0.05,0.016307893,2.44,0.71,6.654,2.2209612818,0.648,1.222,0.01862,0.37698,0.40456,19.38,1.062,0.0125,0.0125,0.02238,0.0409701735,5.26,6.66,4.65,4.4874,0,1.584,2.83,0.0276,4.12
"ANTKAL0276",0.13,0.6,1.034,7.144,52.64,51.784,50.12,50.12,1.156,2.5,2.54,0.722,0.06,0.204,0.1584096909,0.01,0.00304414,0.182,0.0411132194,18.672,0.2025670503,3.896,7.882,87.86,0.18,0.05,0.016307893,1.772,0.434,4.57,1.5253671562,0.654,1.428,0.02408,0.40224,0.42818,20.56,0.588,0.022,0.0125,0.03514,0.0409701735,13.3,12.88,5.13,5.0198,0,3.692,7.542,0.033,4.82
"ANTKAL0284",0.26,0.6,1.104,8.95,58.98,59.776,58.38,58.38,1.164,2.5,1.174,0.658,0.054,0.146,0.1133716415,0.01,0.00304414,0.296,0.066865456,22.012,0.1832812375,5.1,8.484,94,0.18,0.05,0.016307893,1.56,0.434,4.03,1.3451268358,0.27,1.66,0.02324,0.42518,0.46626,19.82,0.63,0.0125,0.0125,0.05442,0.0409701735,11.54,8.34,4.506,4.4388,0,2.648,4.354,0.0422,5.18
"ANTKAL0288",0.284,0.6,0.97,9.53,62.74,64.174,62.56,62.56,2.98,2.5,2.22,0.624,0.058,1.38,1.0715949684,0.01,0.00304414,0.172,0.0388542513,47.522,1.1134933597,4.914,5.386,58.12,0.18,0.05,0.016307893,1.084,0.238,1.444,0.481975968,1.724,3.684,0.03776,0.49558,0.60204,18.66,0.666,0.018,0.0125,0.17854,0.0409701735,61.16,15.02,4.67,4.5536,0,1.614,2.74,0.1064,10.2
