"","CODE","Ca","Cl","K","Mg","NH4_N","NO2_N","NO3_N","Na","PO4_P","SO4","Si","TN","TP"
"1","ANTKAL0001",0.56,3.67375,1.19125,0.43625,0.088328932875,0.00608828,0.067769043125,2.00125,0.032615786,0.1925,0.35,0.925714285714286,0.0387125
"2","ANTKAL0011",0.955,7.395,2.1,0.57375,0.203835999125,0.00608828,0.129890665875,3.7425,0.032615786,2.16375,0.45625,1.9125,0.0308125
"3","ANTKAL0021",0.5375,6.6225,1.36,0.46125,0.077651809,0.00608828,0.063815848875,3.655,0.032615786,1.07125,0.375,1.00875,0.03
"4","ANTKAL0123",2.505,5.64125,3.2875,0.81125,0.386317751125,0.00608828,0.0720046085,3.02125,0.090101108875,0.57625,0.585,3.58125,0.1874125
"5","ANTKAL0217",0.755714285714286,5.63857142857143,1.65,0.862857142857143,0.0909635477142857,0.00608828,0.192334998428571,3.53571428571429,0.032615786,5.41857142857143,1.03571428571429,1.23142857142857,0.0304428571428571
"6","ANTKAL0276",0.955,6.5,2.79375,0.65375,0.23683801825,0.00608828,0.075110689375,3.5325,0.032615786,3.84375,0.59,1.45,0.0343375
"7","ANTKAL0284",1.07375,8.03875,1.23375,0.6275,0.1145364185,0.00608828,0.07031038225,4.5725,0.032615786,3.775,0.40625,1.48625,0.0314
"8","ANTKAL0289",0.818571428571429,7.09571428571429,2.91428571428571,0.52,0.0809797437142857,0.00608828,0.070350721,3.77,0.032615786,1.99571428571429,0.371428571428571,1.28571428571429,0.0361714285714286
"9","ANTKAL0306",0.828333333333333,4.94833333333333,2.66333333333333,0.575,0.077651809,0.00608828,0.0760519261666667,2.66166666666667,0.032615786,1.61833333333333,0.35,1.43333333333333,0.03425
"10","ANTKAL0309",0.861666666666667,5.855,0.84,0.515,0.077651809,0.00608828,0.149091894833333,3.865,0.032615786,4.12166666666667,0.43,1.03,0.03
"11","ANTKAL0344",0.928333333333333,6.83,1.12333333333333,0.595,0.077651809,0.00608828,0.0790638836666667,4.19333333333333,0.032615786,4.375,0.793333333333333,1.485,0.03
"12","ANTKAL0350",0.79,4.805,1.19833333333333,0.49,0.077651809,0.00608828,0.216860938,2.64333333333333,0.032615786,2.45,0.383333333333333,1.54666666666667,0.03
"13","ANTKAL0356",1.50875,8.22125,2.7575,1.2625,0.11647771375,0.00608828,0.136667570125,4.77875,0.136170906625,1.2725,0.35,4.4,0.221675
"14","ANTKAL0384",0.96125,5.60625,1.17875,0.56125,0.078622456625,0.00608828,0.1211371645,3.22875,0.032615786,0.935,0.49625,1.79625,0.0375625
"15","ANTKAL0385",0.95,7.12285714285714,1.93428571428571,0.598571428571429,0.276218578571429,0.00608828,0.110366727285714,3.94142857142857,0.032615786,4.60285714285714,0.45,1.72857142857143,0.0371428571428571
"16","ANTKAL0386a",1.69,7.50125,1.3675,0.70875,0.09997670425,0.00608828,0.239168247875,4.515,0.032615786,6.79625,0.35,1.19428571428571,0.0301125
"17","ANTKAL0386b",1.055,7.405,1.31375,0.55875,0.182481751625,0.00608828,0.07172223725,4.30125,0.032615786,4.16125,0.35,1.32875,0.0310875
"18","ANTKAL0478",0.82125,3.38875,1.10375,0.5875,0.214513123,0.00608828,0.06099213875,2.32,0.03506197,1.32,0.4825,1.935,0.0503125
"19","ANTKAL0482",1.10333333333333,5.84666666666667,1.73666666666667,0.573333333333333,0.1617746025,0.00608828,0.1400560225,3.42666666666667,0.032615786,3.07166666666667,0.906666666666667,1.665,0.04095
"20","ANTKAL0483",0.791666666666667,4.70666666666667,1.12333333333333,0.416666666666667,0.157892012166667,0.00608828,0.104665522166667,2.625,0.032615786,1.43333333333333,0.618333333333333,1.41833333333333,0.0451333333333333
"21","ANTKAL0492",0.40625,4.1125,0.4475,0.3725,0.077651809,0.00608828,0.0999593385,2.2575,0.032615786,0.99125,0.35,1.03125,0.03
"22","AN_KAL_002",0.8775,7.52375,1.18875,0.5475,0.090270228,0.00608828,0.048567814125,4.24,0.032615786,3.65375,0.44875,1.32625,0.03
"23","AN_KAL_003",0.85875,6.43375,0.96125,0.58125,0.1300667805,0.00608828,0.270511430375,3.8875,0.032615786,3.92875,0.3875,1.67125,0.0320875
"24","AN_KAL_006",0.7775,7.2025,1.215,0.59,0.130066780375,0.00608828,0.177046625125,4.4175,0.032615786,4.7675,0.3875,1.1475,0.0301
"25","AN_KAL_007",1.00875,6.005,1.7375,0.58625,0.09124087575,0.00608828,0.295077708375,3.3175,0.033838878,1.545,0.39125,2.00875,0.1060125
"26","AN_NOL_001",0.9725,8.43,2.0325,0.57625,0.178599161125,0.00608828,0.236062166875,4.5275,0.032615786,1.42875,0.64125,2.3825,0.04635
"27","AN_NOL_003",0.92125,8.7475,2.135,0.59,0.796901692875,0.00608828,0.182129303375,4.5325,0.032615786,1.445,1.57375,3.375,0.040475
